item_code,week_index,week_start,demand_qty
PANEL-01,117,2025-03-31,306
PANEL-01,118,2025-04-07,306
PANEL-01,119,2025-04-14,308
PANEL-01,120,2025-04-21,273
PANEL-01,121,2025-04-28,281
PANEL-01,122,2025-05-05,240
PANEL-01,123,2025-05-12,244
PANEL-01,124,2025-05-19,217
PANEL-01,125,2025-05-26,214
PANEL-01,126,2025-06-02,190
PANEL-01,127,2025-06-09,194
PANEL-01,128,2025-06-16,189
PANEL-01,129,2025-06-23,182
PANEL-01,130,2025-06-30,194
PANEL-01,131,2025-07-07,150
PANEL-01,132,2025-07-14,
PANEL-01,133,2025-07-21,158
PANEL-01,134,2025-07-28,183
PANEL-01,135,2025-08-04,160
PANEL-01,136,2025-08-11,192
PANEL-01,137,2025-08-18,185
PANEL-01,138,2025-08-25,225
PANEL-01,139,2025-09-01,185
PANEL-01,140,2025-09-08,196
PANEL-01,141,2025-09-15,
PANEL-01,142,2025-09-22,222
PANEL-01,143,2025-09-29,204
PANEL-01,144,2025-10-06,257
PANEL-01,145,2025-10-13,237
PANEL-01,146,2025-10-20,271
PANEL-01,147,2025-10-27,309
PANEL-01,148,2025-11-03,311
PANEL-01,149,2025-11-10,285
PANEL-01,150,2025-11-17,360
PANEL-01,151,2025-11-24,385
PANEL-01,152,2025-12-01,347
PANEL-01,153,2025-12-08,315
PANEL-01,154,2025-12-15,350
PANEL-01,155,2025-12-22,354
SCREW-05,0,2023-01-02,3513
SCREW-05,1,2023-01-09,3953
SCREW-05,2,2023-01-16,4416
SCREW-05,3,2023-01-23,3681
SCREW-05,4,2023-01-30,3608
SCREW-05,5,2023-02-06,3175
SCREW-05,6,2023-02-13,3748
SCREW-05,7,2023-02-20,4316
SCREW-05,8,2023-02-27,3762
SCREW-05,9,2023-03-06,3817
SCREW-05,10,2023-03-13,3622
SCREW-05,11,2023-03-20,3803
SCREW-05,12,2023-03-27,4016
SCREW-05,13,2023-04-03,4576
SCREW-05,14,2023-04-10,3903
SCREW-05,15,2023-04-17,3743
SCREW-05,16,2023-04-24,4856
SCREW-05,17,2023-05-01,4445
SCREW-05,18,2023-05-08,4199
SCREW-05,19,2023-05-15,3808
SCREW-05,20,2023-05-22,4420
SCREW-05,21,2023-05-29,3987
SCREW-05,22,2023-06-05,4418
SCREW-05,23,2023-06-12,3771
SCREW-05,24,2023-06-19,3761
SCREW-05,25,2023-06-26,4169
SCREW-05,26,2023-07-03,3556
SCREW-05,27,2023-07-10,3798
SCREW-05,28,2023-07-17,3578
SCREW-05,29,2023-07-24,3845
SCREW-05,30,2023-07-31,3426
SCREW-05,31,2023-08-07,3827
SCREW-05,32,2023-08-14,3680
SCREW-05,33,2023-08-21,3565
SCREW-05,34,2023-08-28,3508
SCREW-05,35,2023-09-04,3413
SCREW-05,36,2023-09-11,3510
SCREW-05,37,2023-09-18,3671
SCREW-05,38,2023-09-25,3568
SCREW-05,39,2023-10-02,3311
SCREW-05,40,2023-10-09,3559
SCREW-05,41,2023-10-16,3441
SCREW-05,42,2023-10-23,3410
SCREW-05,43,2023-10-30,3951
SCREW-05,44,2023-11-06,3582
SCREW-05,45,2023-11-13,3199
SCREW-05,46,2023-11-20,
SCREW-05,47,2023-11-27,3523
SCREW-05,48,2023-12-04,3718
SCREW-05,49,2023-12-11,3736
SCREW-05,50,2023-12-18,3372
SCREW-05,51,2023-12-25,3986
SCREW-05,52,2024-01-01,4224
SCREW-05,53,2024-01-08,
SCREW-05,54,2024-01-15,4237
SCREW-05,55,2024-01-22,4246
SCREW-05,56,2024-01-29,3961
SCREW-05,57,2024-02-05,4709
SCREW-05,58,2024-02-12,5250
SCREW-05,59,2024-02-19,
SCREW-05,60,2024-02-26,4033
SCREW-05,61,2024-03-04,4324
SCREW-05,62,2024-03-11,4763
SCREW-05,63,2024-03-18,4600
SCREW-05,64,2024-03-25,4210
SCREW-05,65,2024-04-01,4888
SCREW-05,66,2024-04-08,4591
SCREW-05,67,2024-04-15,4363
SCREW-05,68,2024-04-22,4625
SCREW-05,69,2024-04-29,4765
SCREW-05,70,2024-05-06,4134
SCREW-05,71,2024-05-13,3990
SCREW-05,72,2024-05-20,4672
SCREW-05,73,2024-05-27,4633
SCREW-05,74,2024-06-03,4484
SCREW-05,75,2024-06-10,4939
SCREW-05,76,2024-06-17,4109
SCREW-05,77,2024-06-24,4157
SCREW-05,78,2024-07-01,4413
SCREW-05,79,2024-07-08,3782
SCREW-05,80,2024-07-15,3267
SCREW-05,81,2024-07-22,4160
SCREW-05,82,2024-07-29,3800
SCREW-05,83,2024-08-05,3862
SCREW-05,84,2024-08-12,3590
SCREW-05,85,2024-08-19,4044
SCREW-05,86,2024-08-26,3598
SCREW-05,87,2024-09-02,4069
SCREW-05,88,2024-09-09,4009
SCREW-05,89,2024-09-16,3761
SCREW-05,90,2024-09-23,3232
SCREW-05,91,2024-09-30,3579
SCREW-05,92,2024-10-07,3385
SCREW-05,93,2024-10-14,3838
SCREW-05,94,2024-10-21,3556
SCREW-05,95,2024-10-28,3748
SCREW-05,96,2024-11-04,
SCREW-05,97,2024-11-11,3007
SCREW-05,98,2024-11-18,3814
SCREW-05,99,2024-11-25,3147
SCREW-05,100,2024-12-02,4221
SCREW-05,101,2024-12-09,4332
SCREW-05,102,2024-12-16,4607
SCREW-05,103,2024-12-23,3517
SCREW-05,104,2024-12-30,4376
SCREW-05,105,2025-01-06,4271
SCREW-05,106,2025-01-13,4388
SCREW-05,107,2025-01-20,4425
SCREW-05,108,2025-01-27,4031
SCREW-05,109,2025-02-03,4064
SCREW-05,110,2025-02-10,3835
SCREW-05,111,2025-02-17,4438
SCREW-05,112,2025-02-24,4617
SCREW-05,113,2025-03-03,4319
SCREW-05,114,2025-03-10,4153
SCREW-05,115,2025-03-17,4653
SCREW-05,116,2025-03-24,
SCREW-05,117,2025-03-31,3917
SCREW-05,118,2025-04-07,4278
SCREW-05,119,2025-04-14,5152
SCREW-05,120,2025-04-21,5075
SCREW-05,121,2025-04-28,4458
SCREW-05,122,2025-05-05,4747
SCREW-05,123,2025-05-12,4569
SCREW-05,124,2025-05-19,4375
SCREW-05,125,2025-05-26,4895
SCREW-05,126,2025-06-02,4267
SCREW-05,127,2025-06-09,4173
SCREW-05,128,2025-06-16,4387
SCREW-05,129,2025-06-23,4168
SCREW-05,130,2025-06-30,4208
SCREW-05,131,2025-07-07,3705
SCREW-05,132,2025-07-14,4032
SCREW-05,133,2025-07-21,3807
SCREW-05,134,2025-07-28,3891
SCREW-05,135,2025-08-04,4115
SCREW-05,136,2025-08-11,3916
SCREW-05,137,2025-08-18,4099
SCREW-05,138,2025-08-25,3921
SCREW-05,139,2025-09-01,2968
SCREW-05,140,2025-09-08,3279
SCREW-05,141,2025-09-15,3359
SCREW-05,142,2025-09-22,3470
SCREW-05,143,2025-09-29,3683
SCREW-05,144,2025-10-06,3698
SCREW-05,145,2025-10-13,3865
SCREW-05,146,2025-10-20,3897
SCREW-05,147,2025-10-27,3971
SCREW-05,148,2025-11-03,3485
SCREW-05,149,2025-11-10,3921
SCREW-05,150,2025-11-17,4025
SCREW-05,151,2025-11-24,3935
SCREW-05,152,2025-12-01,4139
SCREW-05,153,2025-12-08,3537
SCREW-05,154,2025-12-15,4462
SCREW-05,155,2025-12-22,4101
CABLE-07,0,2023-01-02,378
CABLE-07,1,2023-01-09,261
CABLE-07,2,2023-01-16,318
CABLE-07,3,2023-01-23,300
CABLE-07,4,2023-01-30,302
CABLE-07,5,2023-02-06,241
CABLE-07,6,2023-02-13,221
CABLE-07,7,2023-02-20,220
CABLE-07,8,2023-02-27,237
CABLE-07,9,2023-03-06,196
CABLE-07,10,2023-03-13,197
CABLE-07,11,2023-03-20,202
CABLE-07,12,2023-03-27,149
CABLE-07,13,2023-04-03,164
CABLE-07,14,2023-04-10,192
CABLE-07,15,2023-04-17,191
CABLE-07,16,2023-04-24,195
CABLE-07,17,2023-05-01,157
CABLE-07,18,2023-05-08,169
CABLE-07,19,2023-05-15,244
CABLE-07,20,2023-05-22,256
CABLE-07,21,2023-05-29,280
CABLE-07,22,2023-06-05,260
CABLE-07,23,2023-06-12,280
CABLE-07,24,2023-06-19,292
CABLE-07,25,2023-06-26,302
CABLE-07,26,2023-07-03,307
CABLE-07,27,2023-07-10,314
CABLE-07,28,2023-07-17,375
CABLE-07,29,2023-07-24,397
CABLE-07,30,2023-07-31,428
CABLE-07,31,2023-08-07,491
CABLE-07,32,2023-08-14,426
CABLE-07,33,2023-08-21,456
CABLE-07,34,2023-08-28,447
CABLE-07,35,2023-09-04,403
CABLE-07,36,2023-09-11,455
CABLE-07,37,2023-09-18,522
CABLE-07,38,2023-09-25,466
CABLE-07,39,2023-10-02,504
CABLE-07,40,2023-10-09,458
CABLE-07,41,2023-10-16,493
CABLE-07,42,2023-10-23,506
CABLE-07,43,2023-10-30,468
CABLE-07,44,2023-11-06,403
CABLE-07,45,2023-11-13,463
CABLE-07,46,2023-11-20,420
CABLE-07,47,2023-11-27,425
CABLE-07,48,2023-12-04,405
CABLE-07,49,2023-12-11,338
CABLE-07,50,2023-12-18,367
CABLE-07,51,2023-12-25,350
CABLE-07,52,2024-01-01,300
CABLE-07,53,2024-01-08,356
CABLE-07,54,2024-01-15,237
CABLE-07,55,2024-01-22,263
CABLE-07,56,2024-01-29,207
CABLE-07,57,2024-02-05,206
CABLE-07,58,2024-02-12,195
CABLE-07,59,2024-02-19,218
CABLE-07,60,2024-02-26,187
CABLE-07,61,2024-03-04,196
CABLE-07,62,2024-03-11,189
CABLE-07,63,2024-03-18,173
CABLE-07,64,2024-03-25,182
CABLE-07,65,2024-04-01,169
CABLE-07,66,2024-04-08,155
CABLE-07,67,2024-04-15,130
CABLE-07,68,2024-04-22,205
CABLE-07,69,2024-04-29,180
CABLE-07,70,2024-05-06,182
CABLE-07,71,2024-05-13,204
CABLE-07,72,2024-05-20,183
CABLE-07,73,2024-05-27,210
CABLE-07,74,2024-06-03,217
CABLE-07,75,2024-06-10,236
CABLE-07,76,2024-06-17,309
CABLE-07,77,2024-06-24,294
CABLE-07,78,2024-07-01,331
CABLE-07,79,2024-07-08,
CABLE-07,80,2024-07-15,333
CABLE-07,81,2024-07-22,326
CABLE-07,82,2024-07-29,374
CABLE-07,83,2024-08-05,346
CABLE-07,84,2024-08-12,342
CABLE-07,85,2024-08-19,435
CABLE-07,86,2024-08-26,368
CABLE-07,87,2024-09-02,387
CABLE-07,88,2024-09-09,490
CABLE-07,89,2024-09-16,434
CABLE-07,90,2024-09-23,482
CABLE-07,91,2024-09-30,432
CABLE-07,92,2024-10-07,490
CABLE-07,93,2024-10-14,370
CABLE-07,94,2024-10-21,421
CABLE-07,95,2024-10-28,421
CABLE-07,96,2024-11-04,423
CABLE-07,97,2024-11-11,441
CABLE-07,98,2024-11-18,378
CABLE-07,99,2024-11-25,329
CABLE-07,100,2024-12-02,
CABLE-07,101,2024-12-09,377
CABLE-07,102,2024-12-16,350
CABLE-07,103,2024-12-23,291
CABLE-07,104,2024-12-30,293
CABLE-07,105,2025-01-06,286
CABLE-07,106,2025-01-13,304
CABLE-07,107,2025-01-20,278
CABLE-07,108,2025-01-27,233
CABLE-07,109,2025-02-03,257
CABLE-07,110,2025-02-10,198
CABLE-07,111,2025-02-17,192
CABLE-07,112,2025-02-24,171
CABLE-07,113,2025-03-03,188
CABLE-07,114,2025-03-10,175
CABLE-07,115,2025-03-17,166
CABLE-07,116,2025-03-24,179
CABLE-07,117,2025-03-31,166
CABLE-07,118,2025-04-07,163
CABLE-07,119,2025-04-14,175
CABLE-07,120,2025-04-21,188
CABLE-07,121,2025-04-28,188
CABLE-07,122,2025-05-05,195
CABLE-07,123,2025-05-12,201
CABLE-07,124,2025-05-19,197
CABLE-07,125,2025-05-26,216
CABLE-07,126,2025-06-02,211
CABLE-07,127,2025-06-09,269
CABLE-07,128,2025-06-16,250
CABLE-07,129,2025-06-23,
CABLE-07,130,2025-06-30,296
CABLE-07,131,2025-07-07,302
CABLE-07,132,2025-07-14,271
CABLE-07,133,2025-07-21,325
CABLE-07,134,2025-07-28,360
CABLE-07,135,2025-08-04,384
CABLE-07,136,2025-08-11,364
CABLE-07,137,2025-08-18,380
CABLE-07,138,2025-08-25,386
CABLE-07,139,2025-09-01,446
CABLE-07,140,2025-09-08,429
CABLE-07,141,2025-09-15,423
CABLE-07,142,2025-09-22,433
CABLE-07,143,2025-09-29,424
CABLE-07,144,2025-10-06,464
CABLE-07,145,2025-10-13,396
CABLE-07,146,2025-10-20,366
CABLE-07,147,2025-10-27,380
CABLE-07,148,2025-11-03,406
CABLE-07,149,2025-11-10,
CABLE-07,150,2025-11-17,379
CABLE-07,151,2025-11-24,356
CABLE-07,152,2025-12-01,
CABLE-07,153,2025-12-08,328
CABLE-07,154,2025-12-15,329
CABLE-07,155,2025-12-22,302
