work_order_no,item_code,material_readiness,days_until_due,max_lead_time_days,progress_ratio,item_overdue_rate,weekly_load_ratio,bom_component_count,was_delayed
WOH-00058,TV-300,0.1562,4,3,0.9181,0.25,1.243,2,1
WOH-00059,MON-200,,11,3,0.3713,0.31,1.3645,6,1
WOH-00060,TV-200,,-4,3,0.9088,0.12,1.2356,8,1
WOH-00061,MON-100,1,18,0,0.1426,0.42,0.9215,7,1
WOH-00062,MON-100,0.9231,18,4,0.1996,0.42,0.6396,4,0
WOH-00063,MON-200,0.6892,23,4,0.184,0.31,1.2731,4,0
WOH-00064,MON-200,1,7,0,0.9362,0.31,0.5709,2,0
WOH-00065,MON-200,,8,10,0.1068,0.31,1.2408,4,1
WOH-00066,TV-200,0.5005,10,12,0.8047,0.12,1.1354,4,0
WOH-00067,MON-200,0.7778,4,10,0.7272,0.31,1.2901,2,1
WOH-00068,MON-100,0.0435,0,4,0.8864,0.42,0.5755,8,0
WOH-00069,TV-200,0.2432,14,3,0.8415,0.12,1.236,7,0
WOH-00070,MON-200,0.8192,8,8,0.9545,0.31,1.5958,8,0
WOH-00071,MON-200,0.1918,-6,7,0.7321,0.31,0.7005,7,1
WOH-00072,TV-100,1,10,0,0.9741,0.18,1.0353,8,0
WOH-00073,TV-100,0.6828,6,6,0.0089,0.18,1.0387,6,0
WOH-00074,MON-100,0.7534,5,14,0.4359,0.42,1.3896,6,1
WOH-00075,TV-100,0.5271,23,11,0.8472,0.18,1.5266,2,0
WOH-00076,MON-200,0.9564,19,5,0.1119,0.31,0.6698,8,0
WOH-00077,TV-100,0.0213,-5,5,0.8911,0.18,0.6212,5,1
WOH-00078,TV-200,1,20,0,0.1989,0.12,0.6055,6,0
WOH-00079,MON-100,1,6,0,0.5493,0.42,0.8498,6,0
WOH-00080,MON-100,0.9529,21,11,0.3011,0.42,1.0438,7,0
WOH-00081,MON-100,0.2506,3,11,0.3122,0.42,1.0423,2,1
WOH-00082,MON-200,0.5721,11,3,0.8846,0.31,0.5917,6,0
WOH-00083,MON-200,0.4229,6,10,0.5841,0.31,1.0787,4,1
WOH-00084,TV-100,1,1,0,0.7785,0.18,1.3901,3,1
WOH-00085,TV-300,1,16,0,0.4045,0.25,0.631,7,1
WOH-00086,TV-200,1,-3,0,0.3834,0.12,1.4525,8,1
WOH-00087,MON-200,0.118,24,12,0.8846,0.31,1.2408,7,0
WOH-00088,TV-200,0.8254,20,3,0.2175,0.12,0.9922,2,0
WOH-00089,MON-200,0.7771,7,5,0.1578,0.31,1.4308,3,1
WOH-00090,TV-200,,20,6,0.4979,0.12,0.6209,7,0
WOH-00091,TV-300,0.9844,-6,12,0.2672,0.25,0.648,2,1
WOH-00092,MON-200,0.6106,12,6,0.4326,0.31,1.3445,2,1
WOH-00093,TV-200,0.8363,22,10,0.5379,0.12,0.5568,8,0
WOH-00094,TV-300,0.457,19,11,0.8473,0.25,1.4122,3,0
WOH-00095,TV-200,,1,12,0.9693,0.12,1.4573,6,1
WOH-00096,MON-200,0.5003,4,6,0.6287,0.31,0.7988,2,0
WOH-00097,TV-300,0.3445,18,4,0.0232,0.25,1.3573,3,0
WOH-00098,TV-300,0.0867,3,5,0.1083,0.25,1.1001,2,1
WOH-00099,TV-200,,2,0,0.4529,0.12,1.1614,6,0
WOH-00100,MON-100,0.0827,8,11,0.3831,0.42,1.4418,3,0
WOH-00101,TV-200,1,17,0,0.3791,0.12,1.2724,3,0
WOH-00102,MON-100,0.1301,9,11,0.3368,0.42,0.5128,3,1
WOH-00103,MON-200,0.7369,19,11,0.898,0.31,1.5435,4,0
WOH-00104,TV-200,0.968,1,2,0.0568,0.12,0.8155,4,1
WOH-00105,TV-300,0.1043,22,13,0.0122,0.25,0.8897,3,0
WOH-00106,TV-300,0.4614,19,13,0.2619,0.25,1.0227,3,0
WOH-00107,MON-100,0.2551,21,11,0.2276,0.42,1.5622,7,1
WOH-00108,TV-100,0.5479,2,12,0.9057,0.18,1.0312,4,1
WOH-00109,TV-200,0.5669,24,7,0.4246,0.12,0.8014,8,1
WOH-00110,TV-200,,15,7,0.5917,0.12,0.5113,8,0
WOH-00111,MON-200,0.5643,12,5,0.3829,0.31,0.6184,3,1
WOH-00112,TV-300,0.3433,-3,9,0.3466,0.25,1.3134,8,1
WOH-00113,MON-100,1,11,0,0.2896,0.42,1.1861,5,1
WOH-00114,TV-300,0.7799,14,11,0.7081,0.25,0.7511,7,0
WOH-00115,MON-200,1,2,0,0.2947,0.31,1.3742,2,1
WOH-00116,TV-200,0.4505,10,13,0.6561,0.12,1.1282,2,0
WOH-00117,TV-300,0.8036,24,5,0.3783,0.25,1.0546,7,1
WOH-00118,MON-200,0.3934,0,6,0.3941,0.31,0.9342,7,1
WOH-00119,TV-100,0.371,-1,3,0.1577,0.18,0.9727,7,1
WOH-00120,MON-100,0.8634,20,14,0.9473,0.42,0.6784,3,0
WOH-00121,MON-200,0.8885,8,11,0.054,0.31,1.1062,5,0
WOH-00122,MON-200,0.7198,21,10,0.9933,0.31,0.5088,2,0
WOH-00123,TV-200,0.9443,11,9,0.2624,0.12,1.1856,5,0
WOH-00124,TV-300,0.1795,10,10,0.2927,0.25,1.4779,2,1
WOH-00125,MON-200,0.6066,12,12,0.194,0.31,1.449,4,0
WOH-00126,TV-300,0.993,0,13,0.084,0.25,0.6989,3,1
WOH-00127,TV-200,0.4369,5,3,0.5057,0.12,0.9053,8,0
WOH-00128,TV-100,0.8862,16,14,0.5356,0.18,0.539,2,0
WOH-00129,MON-100,0.2806,-4,8,0.5597,0.42,0.6964,5,1
WOH-00130,TV-200,0.2943,1,13,0.8111,0.12,1.0029,2,1
WOH-00131,TV-200,0.3582,21,12,0.3538,0.12,1.0539,7,1
WOH-00132,MON-200,0.6177,-2,2,0.7688,0.31,1.0485,8,1
WOH-00133,MON-100,0.3011,4,8,0.2732,0.42,,7,1
WOH-00134,MON-200,0.3174,14,7,0.3558,0.31,1.4941,2,1
WOH-00135,MON-200,0.347,-6,14,0.0751,0.31,10.0912,5,1
WOH-00136,TV-100,0.3762,21,11,0.0793,0.18,0.7454,7,0
WOH-00137,TV-100,,5,6,0.7914,0.18,1.4655,5,0
WOH-00138,TV-300,0.8973,12,12,0.9044,0.25,1.0328,4,0
WOH-00139,MON-200,0.4552,9,10,0.1263,0.31,,7,1
WOH-00140,TV-100,0.2261,10,11,0.9919,0.18,0.7052,3,0
WOH-00141,MON-200,0.7362,-6,10,0.0383,0.31,1.0813,2,1
WOH-00142,MON-200,0.4517,19,10,0.6287,0.31,0.8613,7,1
WOH-00143,MON-200,0.8576,5,8,0.4563,0.31,1.525,2,0
WOH-00144,TV-100,0.4841,16,13,0.1559,0.18,0.9679,4,0
WOH-00145,MON-200,0.588,18,11,0.2722,0.31,1.1707,6,0
WOH-00146,TV-100,0.7246,24,12,0.1783,0.18,0.8484,5,0
WOH-00147,MON-100,1,20,0,0.6945,0.42,1.016,7,0
WOH-00148,TV-300,0.1692,6,4,0.0057,0.25,0.5336,6,0
WOH-00149,TV-200,0.504,9,9,0.0889,0.12,0.5148,6,1
WOH-00150,MON-200,0.8597,22,2,0.4214,0.31,,4,0
WOH-00151,MON-100,0.9023,-3,7,0.7116,0.42,1.1087,2,0
WOH-00152,MON-200,,-3,0,0.1531,0.31,1.4675,7,1
WOH-00153,TV-300,0.2969,-3,9,0.4144,0.25,1.1998,7,1
WOH-00154,TV-300,1,11,0,0.8892,0.25,1.4227,5,0
WOH-00155,MON-100,,3,14,0.4935,0.42,0.597,8,1
WOH-00156,TV-100,0.7007,23,9,0.179,0.18,0.7981,6,0
WOH-00157,TV-100,0.3642,22,9,0.0288,0.18,1.4673,2,1
WOH-00158,TV-100,0.7703,2,7,0.4123,0.18,0.5228,4,0
WOH-00159,TV-300,,23,0,0.253,0.25,0.7928,3,1
WOH-00160,TV-100,0.202,6,14,0.1582,0.18,0.5229,3,1
WOH-00161,TV-200,1,0,0,0.4568,0.12,0.856,5,1
WOH-00162,MON-100,0.0936,22,12,0.07,0.42,1.1885,7,1
WOH-00163,MON-200,0.0123,-4,4,0.7878,0.31,0.6232,4,1
WOH-00164,MON-200,0.05,17,11,0.3107,0.31,1.3304,8,1
WOH-00165,MON-200,0.2616,-3,12,0.5653,0.31,1.1167,2,1
WOH-00166,MON-200,0.346,9,13,0.0675,0.31,1.5137,5,1
WOH-00167,TV-300,0.0426,3,11,0.1944,0.25,1.0726,8,1
WOH-00168,TV-100,0.6768,8,9,0.3709,0.18,6.7194,7,0
WOH-00169,TV-100,0.3385,3,2,0.4343,0.18,0.7883,7,0
WOH-00170,MON-200,0.1441,-3,14,0.2328,0.31,0.6713,2,1
WOH-00171,TV-300,1,7,0,0.6855,0.25,0.6361,8,0
WOH-00172,MON-200,0.6581,16,13,0.955,0.31,0.771,7,0
WOH-00173,TV-100,0.8099,6,13,0.1408,0.18,1.0162,6,1
WOH-00174,TV-200,0.9496,-5,9,0.1452,0.12,0.8294,8,0
WOH-00175,TV-200,0.3446,-4,3,0.0678,0.12,1.5946,7,1
WOH-00176,MON-100,0.0976,7,2,0.6133,0.42,0.5915,2,1
WOH-00177,MON-200,0.3163,17,7,0.9422,0.31,0.8653,3,1
WOH-00178,MON-200,,2,3,0.0387,0.31,0.8478,4,0
WOH-00179,TV-300,1,4,0,0.8096,0.25,1.5341,5,0
WOH-00180,MON-100,0.2572,5,9,0.3717,0.42,1.2833,4,1
WOH-00181,TV-100,0.9244,21,6,0.4092,0.18,0.9126,6,0
WOH-00182,TV-100,1,4,0,0.128,0.18,0.8907,4,0
WOH-00183,TV-300,0.7648,16,14,0.94,0.25,0.6055,8,0
WOH-00184,TV-100,0.0489,-3,5,0.4541,0.18,0.8057,3,1
WOH-00185,MON-200,0.4214,0,12,0.4229,0.31,0.7714,7,1
WOH-00186,MON-100,0.4948,17,9,0.2351,0.42,0.7909,4,1
WOH-00187,MON-200,0.0189,-5,9,0.2096,0.31,1.5925,2,1
WOH-00188,TV-300,0.1191,16,2,0.5227,0.25,0.5242,2,0
WOH-00189,TV-200,0.7308,9,3,0.1106,0.12,1.0761,7,1
WOH-00190,TV-100,0.1444,-6,5,0.2148,0.18,1.1535,8,1
WOH-00191,TV-200,,18,11,0.601,0.12,1.2165,2,0
WOH-00192,TV-200,1,2,0,0.317,0.12,0.9131,7,0
WOH-00193,MON-200,0.0103,17,8,0.4588,0.31,1.076,2,1
WOH-00194,MON-100,,-6,3,0.3752,0.42,0.5934,6,0
WOH-00195,MON-200,0.3557,11,3,0.0288,0.31,1.1869,8,1
WOH-00196,TV-300,0.2043,11,6,0.3326,0.25,1.4566,6,1
WOH-00197,MON-200,0.8208,-1,10,0.8845,0.31,0.8554,6,1
WOH-00198,TV-300,1,-3,0,0.7372,0.25,1.5824,7,0
WOH-00199,TV-100,0.5879,4,10,0.3,0.18,0.8873,7,0
WOH-00200,MON-200,0.5206,1,10,0.9053,0.31,1.3546,2,1
WOH-00201,MON-200,0.8528,24,10,0.3256,0.31,0.5635,3,0
WOH-00202,TV-200,0.7637,6,14,0.7833,0.12,0.8369,4,1
WOH-00203,MON-100,0.1272,7,8,0.3234,0.42,0.6155,5,1
WOH-00204,MON-200,,4,11,0.5796,0.31,1.3496,7,1
WOH-00205,MON-200,0.0631,6,9,0.5209,0.31,0.5774,4,1
WOH-00206,MON-100,0.7995,21,14,0.9837,0.42,1.284,2,0
WOH-00207,TV-300,0.7438,18,4,0.4042,0.25,1.5108,7,0
WOH-00208,MON-100,1,16,0,0.0166,0.42,1.145,2,0
WOH-00209,TV-300,1,18,0,0.9104,0.25,1.3424,8,0
WOH-00210,TV-200,1,3,0,0.1506,0.12,1.4348,2,0
WOH-00211,MON-100,0.284,-4,14,0.0759,0.42,0.5072,4,1
WOH-00212,TV-300,0.384,13,2,0.0401,0.25,1.2623,5,1
WOH-00213,TV-300,0.8286,7,4,0.6203,0.25,1.403,8,0
WOH-00214,TV-300,0.9125,21,8,0.4539,0.25,0.8677,5,0
WOH-00215,MON-200,0.0012,19,9,0.8012,0.31,0.5588,8,0
WOH-00216,TV-200,0.2612,12,3,0.5543,0.12,1.5354,7,0
WOH-00217,MON-100,1,22,0,0.2638,0.42,0.7972,7,0
WOH-00218,MON-100,,4,0,0.0902,0.42,1.2559,4,0
WOH-00219,TV-300,0.2608,17,8,0.6972,0.25,1.3945,6,0
WOH-00220,MON-100,,-2,0,0.693,0.42,1.0793,5,0
WOH-00221,TV-300,0.1158,0,13,0.0654,0.25,0.7064,6,1
WOH-00222,MON-100,0.595,19,2,0.7335,0.42,1.4425,5,0
WOH-00223,TV-100,0.6204,15,14,0.7295,0.18,1.3502,2,1
WOH-00224,TV-200,1,11,0,0.6581,0.12,0.6969,4,1
WOH-00225,TV-100,0.8281,9,8,0.7639,0.18,1.1297,2,0
WOH-00226,TV-200,0.5842,13,3,0.4002,0.12,1.0417,7,0
WOH-00227,MON-100,,19,10,0.51,0.42,0.6954,4,1
WOH-00228,MON-200,0.2976,3,14,0.9211,0.31,,6,1
WOH-00229,TV-100,0.6347,0,5,0.54,0.18,1.3595,2,0
WOH-00230,TV-200,,6,14,0.9791,0.12,0.886,6,0
WOH-00231,TV-100,0.2181,19,2,0.2856,0.18,0.6304,7,0
WOH-00232,MON-200,1,19,0,0.2683,0.31,0.7223,4,1
WOH-00233,TV-100,0.5891,9,10,0.3024,0.18,0.8292,8,0
WOH-00234,MON-200,1,-6,0,0.4413,0.31,0.8493,5,1
WOH-00235,MON-100,0.0407,10,5,0.224,0.42,0.6228,8,1
WOH-00236,TV-200,0.9203,8,8,0.3636,0.12,1.1503,6,0
WOH-00237,MON-200,0.2047,21,11,0.4696,0.31,1.5504,3,0
WOH-00238,MON-100,1,14,0,0.4701,0.42,0.7309,7,0
WOH-00239,MON-100,0.9672,24,14,0.6836,0.42,9.089,6,0
WOH-00240,MON-200,0.2137,24,10,0.3844,0.31,1.3114,6,1
WOH-00241,TV-300,0.2356,3,5,0.2764,0.25,0.9226,5,0
WOH-00242,TV-100,0.6412,-4,8,0.9274,0.18,0.6682,4,1
WOH-00243,MON-100,0.0579,-4,5,0.7395,0.42,0.7952,6,0
WOH-00244,MON-200,0.0585,6,12,0.589,0.31,0.5216,4,0
WOH-00245,MON-100,0.1144,4,12,0.4476,0.42,0.5126,4,1
WOH-00246,MON-200,0.252,1,6,0.5945,0.31,1.532,3,1
WOH-00247,MON-100,0.7157,-3,14,0.2095,0.42,0.8442,7,1
WOH-00248,TV-300,0.9721,10,5,0.1918,0.25,0.9557,4,1
WOH-00249,MON-100,0.02,4,6,0.307,0.42,0.722,2,0
WOH-00250,TV-300,0.4691,-3,10,0.5327,0.25,0.7824,7,1
WOH-00251,TV-200,1,1,0,0.3979,0.12,0.8937,3,0
WOH-00252,TV-100,1,6,0,0.9431,0.18,0.7234,3,0
WOH-00253,MON-200,0.9015,3,11,0.4696,0.31,0.8159,4,1
WOH-00254,TV-300,0.4428,23,10,0.5515,0.25,1.2776,2,0
WOH-00255,MON-100,0.142,3,10,0.8051,0.42,1.5237,8,0
WOH-00256,TV-100,0.6894,16,2,0.2364,0.18,1.2389,8,1
WOH-00257,MON-200,0.7179,-2,2,0.3528,0.31,0.8307,8,1
WOH-00258,TV-300,0.841,14,12,0.3061,0.25,1.1643,6,0
WOH-00259,TV-300,0.0911,1,2,0.1487,0.25,0.7082,4,1
WOH-00260,MON-100,0.9602,13,10,0.7198,0.42,0.8506,8,0
WOH-00261,TV-100,0.2058,16,2,0.7201,0.18,,7,0
WOH-00262,MON-200,0.0662,23,3,0.3821,0.31,0.5593,7,0
WOH-00263,TV-200,1,23,0,0.4872,0.12,,6,0
WOH-00264,MON-100,,24,8,0.293,0.42,1.1559,4,1
WOH-00265,MON-200,0.7026,17,5,0.5144,0.31,1.257,7,0
WOH-00266,MON-200,0.0318,17,12,0.201,0.31,0.7033,4,0
WOH-00267,TV-100,1,17,0,0.1741,0.18,0.8843,3,0
WOH-00268,MON-200,0.8448,2,2,0.0813,0.31,1.2669,8,1
WOH-00269,MON-200,0.9692,11,12,0.4095,0.31,1.2974,8,0
WOH-00270,MON-100,1,11,0,0.3216,0.42,1.2382,4,1
WOH-00271,TV-100,1,-3,0,0.262,0.18,0.5543,5,1
WOH-00272,TV-200,,18,6,0.3623,0.12,1.2407,5,1
WOH-00273,TV-200,0.177,-2,9,0.4825,0.12,0.7555,4,1
WOH-00274,TV-300,0.3405,8,12,0.8214,0.25,1.5595,5,1
WOH-00275,TV-200,0.3713,-6,8,0.1725,0.12,0.7336,7,1
WOH-00276,TV-300,1,13,0,0.4881,0.25,0.751,3,1
WOH-00277,TV-100,0.242,17,8,0.6081,0.18,1.0427,6,1
WOH-00278,TV-100,0.2618,18,13,0.4532,0.18,0.5825,2,0
WOH-00279,TV-300,0.3832,-4,2,0.6284,0.25,1.4916,7,1
WOH-00280,TV-200,0.7886,0,12,0.4439,0.12,1.0003,2,0
WOH-00281,TV-200,0.34,11,8,0.7748,0.12,1.4607,4,0
WOH-00282,TV-200,0.7151,15,10,0.901,0.12,1.0958,7,0
WOH-00283,TV-300,0.312,23,10,0.5505,0.25,1.5658,8,1
WOH-00284,MON-200,0.3281,11,7,0.5977,0.31,1.0743,4,0
WOH-00285,MON-100,0.522,9,8,0.0359,0.42,0.7189,8,0
WOH-00286,TV-300,0.6916,20,13,0.9968,0.25,1.0881,4,1
WOH-00287,TV-300,0.4669,14,11,0.1041,0.25,1.5176,6,0
WOH-00288,TV-200,,-5,10,0.8511,0.12,1.2881,5,1
WOH-00289,MON-100,0.6138,11,9,0.5146,0.42,1.4256,7,0
WOH-00290,TV-200,0.2348,18,13,0.104,0.12,1.2869,6,0
WOH-00291,TV-200,0.8605,16,5,0.8271,0.12,1.3484,8,0
WOH-00292,MON-200,0.1782,7,2,0.312,0.31,1.0563,8,1
WOH-00293,TV-300,0.7418,7,13,0.4105,0.25,,4,0
WOH-00294,MON-100,0.1201,10,9,0.3732,0.42,1.4644,6,1
WOH-00295,TV-300,0.3255,14,8,0.175,0.25,1.3989,7,0
WOH-00296,TV-100,0.3876,-4,8,0.2423,0.18,0.8981,3,1
WOH-00297,MON-100,1,11,0,0.7378,0.42,0.7513,6,0
WOH-00298,MON-100,,0,3,0.0697,0.42,0.8769,3,0
WOH-00299,TV-100,0.9105,-2,7,0.486,0.18,1.4563,7,1
WOH-00300,MON-200,0.274,-5,8,0.3698,0.31,0.851,5,1
WOH-00301,TV-100,0.2546,-2,3,0.2308,0.18,0.6597,5,0
WOH-00302,TV-100,0.2927,18,10,0.8996,0.18,0.5106,6,1
WOH-00303,MON-200,0.7401,12,12,0.4775,0.31,1.035,4,1
WOH-00304,MON-100,0.7965,21,11,0.1077,0.42,1.4723,2,0
WOH-00305,TV-200,0.9803,18,2,0.2065,0.12,0.998,7,0
WOH-00306,TV-200,0.7725,6,3,0.1668,0.12,0.8943,6,0
WOH-00307,TV-100,1,21,0,0.0994,0.18,0.9718,2,0
WOH-00308,MON-100,0.8125,3,14,0.8787,0.42,1.2243,8,0
WOH-00309,TV-200,0.5518,23,9,0.3371,0.12,1.039,7,0
WOH-00310,MON-200,0.6358,14,3,0.1998,0.31,0.7057,6,0
WOH-00311,TV-300,0.4378,16,2,0.9154,0.25,1.1747,6,0
WOH-00312,TV-200,0.644,18,11,0.4145,0.12,0.71,4,0
WOH-00313,TV-100,0.9489,16,4,0.2709,0.18,1.4879,2,1
WOH-00314,MON-100,,5,6,0.3062,0.42,0.7793,2,0
WOH-00315,MON-200,1,24,0,0.8811,0.31,13.8101,2,0
WOH-00316,TV-300,0.4277,-5,14,0.7356,0.25,0.9143,8,1
WOH-00317,TV-300,1,7,0,0.8797,0.25,0.8127,3,0
WOH-00318,MON-200,1,-1,0,0.0874,0.31,1.2298,3,1
WOH-00319,TV-200,1,0,0,0.1514,0.12,1.2842,6,1
WOH-00320,MON-200,0.0723,-6,9,0.406,0.31,0.7377,4,0
WOH-00321,MON-100,0.0228,10,5,0.2554,0.42,1.2415,6,1
WOH-00322,TV-200,0.7751,-2,9,0.5246,0.12,1.4479,5,1
WOH-00323,TV-100,0.071,20,14,0.913,0.18,0.6882,6,0
WOH-00324,TV-100,0.4866,20,2,0.137,0.18,0.5012,4,0
WOH-00325,TV-100,0.9476,14,4,0.3634,0.18,1.0483,3,0
WOH-00326,TV-300,,13,7,0.1913,0.25,0.6496,7,1
WOH-00327,TV-100,0.5802,-1,5,0.9981,0.18,0.6859,6,0
WOH-00328,TV-200,0.6215,-5,4,0.0958,0.12,0.7062,6,1
WOH-00329,MON-200,1,1,0,0.391,0.31,1.2269,8,0
WOH-00330,TV-300,0.3843,-6,6,0.2607,0.25,1.3983,6,1
WOH-00331,MON-100,0.1145,14,2,0.9775,0.42,0.8293,6,0
WOH-00332,TV-100,1,0,0,0.915,0.18,1.5808,5,0
WOH-00333,TV-300,0.0946,20,7,0.9338,0.25,,5,0
WOH-00334,TV-200,0.3352,24,14,0.5895,0.12,1.3608,7,0
WOH-00335,MON-200,0.3698,12,11,0.2498,0.31,0.6747,8,0
WOH-00336,TV-300,,20,11,0.3219,0.25,1.4988,7,0
WOH-00337,TV-300,0.0341,23,2,0.8693,0.25,0.8529,5,0
WOH-00338,MON-200,0.9743,-1,6,0.796,0.31,,2,1
WOH-00339,TV-200,1,-4,0,0.3327,0.12,1.5141,6,1
WOH-00340,TV-300,0.2532,0,13,0.0156,0.25,1.1702,7,1
WOH-00341,MON-200,0.5459,16,8,0.1659,0.31,,8,1
WOH-00342,TV-200,0.135,18,14,0.6188,0.12,1.5171,5,0
WOH-00343,TV-300,0.1416,22,14,0.5041,0.25,1.115,2,1
WOH-00344,TV-300,0.2253,0,8,0.9071,0.25,0.9139,8,1
WOH-00345,MON-200,0.7142,-3,6,0.1164,0.31,0.5485,3,1
WOH-00346,MON-200,0.2365,6,8,0.4675,0.31,0.7014,8,1
WOH-00347,MON-100,1,-6,0,0.9448,0.42,0.7846,5,0
WOH-00348,TV-300,0.5042,16,7,0.9907,0.25,1.3242,6,0
WOH-00349,MON-100,1,6,0,0.6726,0.42,1.4758,3,1
WOH-00350,MON-100,0.1467,-6,5,0.3215,0.42,0.7704,5,1
WOH-00351,TV-100,0.8621,17,14,0.7828,0.18,0.8585,2,0
WOH-00352,TV-300,0.9909,19,3,0.5482,0.25,0.7487,4,0
WOH-00353,TV-300,0.5649,2,11,0.9581,0.25,0.9725,7,1
WOH-00354,TV-100,0.2518,6,8,0.9984,0.18,1.3621,6,0
WOH-00355,TV-200,0.4398,8,11,0.8163,0.12,,2,1
WOH-00356,MON-200,0.048,7,11,0.5617,0.31,0.6043,6,1
WOH-00357,MON-200,0.9504,18,9,0.6084,0.31,0.5376,4,0
WOH-00358,TV-200,1,-4,0,0.3292,0.12,0.7806,4,1
WOH-00359,TV-200,0.6558,-5,3,0.6195,0.12,1.4036,6,0
WOH-00360,TV-300,0.0311,5,8,0.2893,0.25,0.8291,5,1
WOH-00361,TV-200,0.0268,1,13,0.1045,0.12,1.0711,6,1
WOH-00362,TV-200,1,17,0,0.0868,0.12,1.2672,4,0
WOH-00363,MON-200,1,20,0,0.7202,0.31,1.5521,3,1
WOH-00364,TV-200,0.6857,11,11,0.7227,0.12,0.9531,8,0
WOH-00365,TV-300,0.4599,11,7,0.0571,0.25,1.3126,4,0
